Track Title,Track URL
Rakudai Kishi no Cavalry - Identity Full by Mikio Sakai,http://soundcloud.com/hipparchus69/rakudai-kishi-no-cavalry-identity-full-by-mikio-sakai
Blue Exorcist - Epic Battle Theme,http://soundcloud.com/mcourneya/blue-exorcist-epic-battle
Shingeki no Kyojin - E.M.A,http://soundcloud.com/yuu-sama/anime-ost-1-shingeki-no-kyojin
Fairy Tail Main Theme (Extended Version) [HD],http://soundcloud.com/kirigaya_kazuto-1/fairy-tail-main-theme-extended
Tsuna Awakens,http://soundcloud.com/ziyou/tsuna-awakens
Attack On Titan - The Reluctant Heroes,http://soundcloud.com/user137163013/attack-on-titan-the-reluctant-heroes
Shingeki no Kyojin OST 1 Attack on Titan (Armored Titan Music/Theme),http://soundcloud.com/igor-alexei/shingeki-no-kyojin-ost-1
Attack on titan Opening 2,http://soundcloud.com/choice-wars/attack-on-titan-opening-2
Knights Of Sidonia Kishi Koushinkyoku - Nightcore(EP385 Vers.),http://soundcloud.com/matthew-scorpinok2534-vieira/knights-of-sidonia-kishi-koushinkyoku-nightcoreep385-vers
Attack on Titan OST - Eren's Mother Death Theme (Vogel Im Käfig),http://soundcloud.com/alex-cojocaru-1/erens-mother-death-theme-vogel
Code Geass OST Track 11 'All H,http://soundcloud.com/naishinmatiri/code-geass-ost-track-11-all-h
Fullmetal Alchemist - Brothers,http://soundcloud.com/amilongoria/fullmetal-alchemist-brothers
Code Geass - Stories,http://soundcloud.com/kandasyusuke2/code-geass-stories
Mosane,http://soundcloud.com/sevillanoelia/mosane-fate-zero
Shingeki no Kyojin Sad theme,http://soundcloud.com/robin-vignals/sad-theme-akame-ga-kill-rebirth
Fate/stay night: Unlimited Blade Works OST - Unlimited Blade Works,http://soundcloud.com/akise-5/fatestay-night-unlimited-blade-works-ost-unlimited-blade-works
Fate Zero Opening 2 - To The Beginning,http://soundcloud.com/evan-barber-5/fate-zero-opening-2-to-the
Attack On Titan OST - Vogel im Kafig,http://soundcloud.com/phoenix-71/attack-on-titan-ost-vogel-im
Code Geass - Boku wa. Tori ni Naru (I. Will Become a Bird),http://soundcloud.com/naah/code-geass-boku-wa-tori-ni-naru-i-will-become-a-bird
Tomorrow Is Another Day - Blue Exorcist (Hiroyuki Sawano),http://soundcloud.com/rin-ackerman/tomorrow-is-another-day-blue-exorcist
GR雷,http://soundcloud.com/rathlion/gilthunder
Blue Exorcist OST - Me & Creed,http://soundcloud.com/yossq/me-creed
銅鑼Gong4N,http://soundcloud.com/rathlion/gong4n
Steins;Gate Opening Full,http://soundcloud.com/user175842170/steins-gate-opening-full
Kishuu,http://soundcloud.com/umookie/kishuu
Ao No Exorcist - Me & Creed,http://soundcloud.com/reborn-x3/ao-no-exorcist-me-creed
Rakudai kishi no cavalry OST Worst one,http://soundcloud.com/nicolas-secchi-909418127/rakudai-kishi-no-cavalry-ost-worst-one
Robotics;Notes-Yuki Hayashi,http://soundcloud.com/youttam-mattai/robotics-notes-yuki-hayashi
Fate/Stay Night Op - Disillusions,http://soundcloud.com/pankakes-andaxolotls/fatestay-night-op-disillusions
Continued Story (Ost Code Geass) - Kuroishi Hitomi,http://soundcloud.com/fuurin/continued-story-ost-code-geass
THIS ILLUSION,http://soundcloud.com/keihatsu/this-illusion
BRE@TH//LESS (Original-Mika Kobayashi,http://soundcloud.com/xxassassinxx986/brethless-original-mika-kobayashi
Faraway - Rita - Little Busters!,http://soundcloud.com/gm-neverwinter/faraway-rita-little-busters
Date A Live Ars Install - Opening - SweetARMS - Installation,http://soundcloud.com/ichiya-kuota/date-a-live-ars-install-opening-sweetarms-installation
HIGHSCHOOL OF THE DEAD Opening Full,http://soundcloud.com/danteandsparda/highschool-of-the-dead-opening
Date A Live II OST - Q&A (Full Size),http://soundcloud.com/hattori_hikaru/date-a-live-ii-ost-qa-full-size
Code Geass - Innocent Days,http://soundcloud.com/stalekthedalek/code-geass-innocent-days
Lilium elfen lied,http://soundcloud.com/kyoko-mogami-setsu-heel/lilium-elfen-lied
Dear-you( Higurashi no Naku Koro ni OST),http://soundcloud.com/whychange74/dear-you-higurashi-no-naku-koro-ni-ost
Blue Bird - Naruto Shippuden Opening 3 Full,http://soundcloud.com/flaviogomes23/blue-bird-naruto-shippuden-3rd
Nanatsu No Taizai (The Seven Deadly Sins) Anime OST - Perfect Time (POWER SONG),http://soundcloud.com/cobritsa/nanatsu
13. Duel - Date a Live OST,http://soundcloud.com/micha-radziejowski/13-duel-date-a-live-ost
Let it all out-Fullmetal Alchemist Brotherhood (Lyrics),http://soundcloud.com/riyuki-attasawa/let-it-all-out-fullmetal
Perfect Time,http://soundcloud.com/rathlion/perfect-time
Date A Live Ost - Ground Zero Extended,http://soundcloud.com/tohobatl2/date-a-live-ost-ground-zero-extended
MK AlieZ,http://soundcloud.com/mico-bin-wiyono/mk-aliez
Black Holes,http://soundcloud.com/epicmountain/black-holes
Log Horizon OST - Main Theme,http://soundcloud.com/akise-5/log-horizon-ost-main-theme
"Fate/Zero Season 1 OST: ""tragedy and fate""",http://soundcloud.com/boredofyou/fate-zero-season-1-ost-tragedy
Track 14 (FAMILIA MYTH ORIGINAL SOUNDTRACK 2),http://soundcloud.com/zacky-san/track-14-familia-myth-original-soundtrack-2
Quantum Computers,http://soundcloud.com/epicmountain/quantum-computers
Released Power - Fairy Tail OST,http://soundcloud.com/ihcati-ahihcu/released-power-fairy-tail-ost
Laputa Castle in the Sky Piano Theme by Joe Hisaishi,http://soundcloud.com/gobaid/laputa-castle-in-the-sky-piano
Fairy Tail OST: Fierce Battle of Steel,http://soundcloud.com/jeremiah-nichol-1/xymlxfent0el
Inishie no Mahou,http://soundcloud.com/mavizvm/inishie-no-mahou
Sword Art Online OST Epic Battle Theme ソードアート・オンライン (Swordland),http://soundcloud.com/nataliebearrauw/sword-art-online-ost-epic
